Seite (Noten),Seite,Buch,Künstler,Titel
289,277,2,Dr Hook ,The Ballad Of Lucy Jordan
35,35,4,Dr Hook ,Cover Of The Rolling Stone
13,13,4,Dr. Alban ,Sing Hallelujah
223,210,2,Dr. Hook,Sylvia's Mother
88,80,1,Drafi Deutscher,Marmor Stein und Eisen bricht
274,274,5,Drupi,Piccola e fragile
24,22,2,Dschingis Khan,Dschingis Khan
183,171,2,Dschingis Khan ,Moskau
134,127,1,Dschungelbuch,Probier's mal mit Gemütlichkeit
244,244,5,Duffy,Mercy
268,268,5,Duran Duran,Ordinary world
337,337,5,Duran Duran,The wild boys
376,360,2,Dusty Springfield,Son Of A Preacher Man
98,90,1,E.A.V.,Der Wein von Mykonos
119,112,1,E.A.V.,Fata Morgana
312,293,1,E.A.V.,Morgen
33,31,2,Eagle Eye Cherry ,Falling In Love Again
328,314,2,Eagle Eye Cherry ,Save Tonight
28,26,1,Eagles,Hotel California
346,324,1,Eagles,Take It Easy
142,133,2,Eagles,Desperado
12,12,2,Eagles ,Heartache Tonight
144,144,W,Eartha Kitt,Santa Baby
43,40,2,EAV,Ba-Ba-Bank
316,304,2,EAV,Märchenprinz
368,364,3,EAV,Küss die Hand schöne Frau
106,98,1,Echt,Du trägst keine Liebe in dir
109,101,2,Echt,Alles wird sich ändern
311,299,2,Echt ,Sag mal weinst du
26,26,5,Ed Sheeran,Bad habits
61,61,5,Ed Sheeran,Castle on the hill
143,143,5,Ed Sheeran,Happier
272,272,5,Ed Sheeran,Perfect
273,273,5,Ed Sheeran,Photograph
297,297,5,Ed Sheeran,Shape of you
300,300,5,Ed Sheeran,Shivers
331,331,5,Ed Sheeran,The A team
361,357,3,Eddy Grant,Gimme Hope Jo'anna
314,302,2,Edith Piaf,"Non, je ne regrette rien"
343,339,3,Edith Piaf,Milord
169,159,2,Edward Reekers,So schmeckt der Sommer
3,3,5,Edwyn Collins,A Girl Like You
11,11,5,Element Of Crime,Am Ende denk ich immer nur an dich
86,86,5,Element Of Crime,Delmenhorst
103,103,W,Ella Endlich,"Küss mich, halt mich, lieb mich"
56,56,5,ELO,Calling America
44,39,1,Elton John,Your Song
73,66,1,Elton John,Can You Feel The Love Tonight
75,68,1,Elton John,Crocodile Rock
232,220,1,Elton John,Candle In The Wind
233,221,1,Elton John,Daniel
367,350,2,Elton John,I'm Still Standing
399,383,2,Elton John,I Guess That's Why The Calld It The Blues
128,128,3,Elton John,Circle Of Life
384,380,3,Elton John,Blue Eyes
410,406,3,Elton John,Sorry Seems To Be The Hardest Word
5,5,4,Elton John,A Word In Spanish
139,139,5,Elton John,Goodbye Yellow brick road
182,182,5,Elton John,I'm gonna love me again
289,289,5,Elton John,Sacrifice
30,30,W,Elton John,Cold As Christmas
155,155,W,Elton John,Step Into Christmas
157,147,2,Elton John ,Nikita
27,27,4,Elton John & Kiki Dee,Don't Go Breaking My Heart
95,87,1,Elvis Presley,In The Ghetto
35,33,2,Elvis Presley,Are You Lonesome Tonight?
36,35,2,Elvis Presley,Suspicious Minds
106,98,2,Elvis Presley,Can't Help Falling In Love
254,187,2,Elvis Presley,It's Now Or Never
257,244,2,Elvis Presley,Always On My Mind
150,332,2,Elvis Presley,(Let Me Be Your) Teddy Bear
347,332,2,Elvis Presley,Teddy Bear
379,361,2,Elvis Presley,Love Me Tender
419,401,2,Elvis Presley,Return To Sender
395,404,2,Elvis Presley,You’re The Devil In Disguise
160,159,3,Elvis Presley,Viva Las Vegas
165,164,3,Elvis Presley,Jailhouse Rock
18,18,W,Elvis Presley,Blue Christmas
82,82,W,Elvis Presley,If Every Day Was Like Christmas
110,109,3,Elvis Presley vs. JXL,A Little Less Conversation
76,76,W,Emerson Lake & Palmer,I Believe In Father Christmas
131,121,2,"Emerson, Lake & Palmer",Lucky Man
58,53,1,Emilia,Big Big World
216,202,2,Eminem,Stan
361,361,5,Emma Bunton,What took you so long
226,213,2,Emmylou Harris,You Never Can Tell
396,391,4,Empire of the Sun,We Are The People
55,51,1,Enrique Iglesias,Bailamos
193,182,2,Enrique Iglesias,Rhythm Divine
208,205,3,Enrique Iglesias,Hero
128,118,2,Enya,Only Time
274,262,2,Eric Burdon,When I Was Young
14,14,1,Eric Carmen,All By Myself
32,30,1,Eric Clapton,Layla
46,41,1,Eric Clapton,Wonderful Tonight
394,369,1,Eric Clapton,Tears In Heaven
213,213,5,Eric Clapton,Lay down Sally
359,342,2,Eric Frantzen Chor und Orchester,"Hey, Hey Wickie"
167,167,5,Ernst Neger,Humbta Taetaerae
38,38,2,Eros Ramazzotti,Adesso tu
400,385,2,Eros Ramazzotti,Cose della vita - Can't Stop Thinking Of You
296,296,4,Eros Ramazzotti,Più Bella Rose
70,70,4,Eros Ramazzotti feat. Anastacia,I Belong To You
52,52,W,Errol Brown,Family Christmas Time
171,161,2,Espen Lind ,When Susannah Cries
111,103,2,Europe,Carrie
411,394,2,Europe,The Final Countdown
155,145,2,Eurythmics,I Saved The World Today
109,108,3,Eurythmics,Here Comes The Rain Again
240,227,2,Eurythmics ,Sweet Dreams
292,292,4,Evanescence,My Immortal
49,49,5,Evanescence,Bring Me To Life
70,73,3,Everlast,What It's Like
261,259,3,Everlast / Santana,Put Your Lights On
115,107,1,Everly Brothers,Bye Bye Love
177,168,1,Extrabreit,"Hurra, Hurra, die Schule brennt"
74,76,3,Extrabreit,"Flieger, grüß mit die Sonne"
240,229,1,Extreme,More Than Words
219,206,2,F R David ,Words
187,178,1,F. J. Degenhardt,Spiel nicht mit den Schmuddelkindern
26,26,4,Fairground Attraction,Perfect
253,240,2,Faith no more ,Easy
97,89,1,Falco,Out Of The Dark
239,228,1,Falco,Jeanny
158,148,2,Falco,Rock Me Amadeus
275,273,3,Falco ,Der Kommissar
365,365,4,Family of the year,Hero
246,246,4,Fats Domino,I'm walking
383,382,4,Fergie,Big Girls Don't Cry
298,298,5,Fine Young cannibals,She drives me crazy
207,204,3,Fischer Z,Marliese
298,294,3,Flippers,Aber dich gibt's nur einmal für mich
95,95,5,Flippers,Die rote Sonne von Barbados
361,340,1,Fool's garden,Lemon Tree
69,69,5,Foreigner,Cold as ice
344,344,5,Foreigner,Urgent
18,16,2,Foreigner ,I Want To Know What Love Is
412,395,2,Foreigner ,Juke Box Hero
1,1,1,Four non blondes,What's up
344,322,1,Four non blondes,Spaceman
143,143,3,France Gall,"Ella, Elle L'a"
291,274,1,Frank Sinatra,My Way
310,307,3,Frank Sinatra,The Girl From Ipanema
321,338,3,Frank Sinatra,New York New York
67,67,W,Frank Sinatra,Have Yourself A Merry Little Christmas
86,86,W,Frank Sinatra,I'll be Home For Christmas
111,111,W,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!
123,123,W,Frank Sinatra,Mistletoe And Holly
145,145,W,Frank Sinatra,Santa Claus Is Coming To Town
165,165,W,Frank Sinatra,The Christmas Waltz
393,375,2,Frank Sinatra ,Strangers In The Night
41,41,5,Frank Zappa,Bobby Brown
154,154,3,Frankie Goes To Hollywood,The Power Of Love
280,280,5,Frankie Goes To Hollywood,Relax
190,190,5,Frans,If I Were Sorry
157,148,1,Franzl Lang,Bergvagabunden
286,282,3,Fred Astaire,Puttin' On The Ritz
333,333,5,Freddie Mercury,The great pretender
329,315,2,Freddy Breck,Ich hab mein Herz in Heidelberg verloren
407,380,1,Freddy Quinn,Die Gitarre und das Meer
31,31,4,Freddy Quinn,Heimweh
117,117,4,Freddy Quinn,"Junge, komm bald wieder"
143,143,W,Freddy Quinn,Sankt Niklas war ein Seemann
26,28,3,Freundeskreis ,A-N-N-A
373,373,5,Frida Gold,Wovon sollen wir traeumen
327,327,4,Fun,We Are Young
339,317,1,Fury in the slaughterhouse,Radio Orchid
238,236,3,Fury in the slaughterhouse,Time To Wonder
315,315,4,Gabriella Cilmi,Sweet About Me
274,258,1,Gänsehaut,Karl der Käfer
218,218,4,Garland Jeffreys,Matador
137,137,3,Garth Brooks,The Thunder Rolls
331,326,3,Garth Brooks,If Tomorrow Never Comes
122,122,4,Garth Brooks,Standing Outside The Fire
136,136,3,Gary Moore ,Still Got The Blues
38,35,1,Gazebo,I Like Chopin
423,406,2,Gebrüber Balttschuss,Kreuzberger Nächte sind lang
299,281,1,Geier Sturzflug,Bruttosozialprodukt
198,195,3,Geier Sturzflug ,Pure Lust am Leben
304,304,5,Gene Kelly,Singing in the rain
233,231,3,Gene Pitney ,Hello Mary Lou
67,70,3,Gene Pitney & Marc Almond,Something Gotten Hold Of My Heart
212,201,2,Genesis ,No Son Of Mine
342,328,2,Genesis ,The Carpet Crawlers
325,306,1,George Baker Selection,O La Paloma Blanca
38,38,5,George Ezra,Blame It On Me
50,50,5,George Ezra,Budapest
162,162,5,George Ezra,Hold my girl
301,301,5,George Ezra,Shotgun
324,324,5,George Gershwin,Summertime
383,379,3,George Michael,Careless Whisper
128,128,5,George Michael,Freedom
219,216,3,George Michael & Elton John,Don't Let The Sun Go Down On Me
65,68,3,Geri Halliwell,Mi Chico Latino
120,120,5,Gerry & the pacemakers,Ferry 'Cross The Mersey
104,96,1,Gerry Rafferty,Baker Street
266,264,3,Gianna Nannini & Edoardo Bennato,Un‘ estate italiana
220,220,4,Gibson Brothers,Que sera mi vida
19,19,4,"Gigi D'Agostino, Nik Kershaw",The Riddle
93,94,3,Gilbert O' Sullivan,Matrimony
136,126,2,Gilbert O'Sullivan,Claire
20,18,2,Gipsy Kings,Baila me
84,78,2,Gipsy Kings,Bamboleo
82,84,3,Gipsy Kings ,Volare
196,193,3,Gitte (Lil Malmqvist),Ich will'nen cowboy als Mann
50,50,4,Gitte Haenning,Freu dich bloß nicht zu früh
274,272,3,Gitti & Erica ,Heidi
330,325,3,Glashaus,Wenn das Liebe ist
107,107,5,Glasperlenspiel,Echt
130,130,5,Glasperlenspiel,Geiles Leben
323,323,4,Glen Campbell,Rhinestone Cowboy
23,23,W,Gloria Estefan,Christmas Through Your Eyes
152,177,1,Gloria Gaynor,I Will Survive
168,168,5,Gloria Gaynor,I Am What I Am
75,75,5,Gnarls Barkley,Crazy
20,20,4,Golden Earring,Radar Love
60,62,3,Goombay Dance Band,Sun Of Jamaica
231,220,2,Gordon Lightfoot,If You Could Read My Mind
293,293,4,Gossip,Heavy Cross
14,16,3,Gotthard,Heaven
25,25,4,Gotthard,"Father, is That Enough"
148,148,4,Gotthard,Let It Rain
359,355,3,Gottlieb Wendehals,Polonäse Blankenese
233,379,2,Grease (Olivia Newton-John & John Travolta),You're The One That I Want
224,213,1,Green Day,Basket Case
357,353,3,Green Day,Wake Me Up When September Ends
387,383,3,Green Day,Boulevard Of Broken Dreams
279,279,4,Green Day,21 Guns
222,209,2,Green Day ,When I Come Around
207,207,5,Gregor Meyle,Keine ist wie du
223,212,1,Guildo Horn,Guildo hat euch lieb
3,3,1,Guns 'n' Roses,Don't Cry
178,169,1,Guns 'n' Roses,Paradise City
179,170,1,Guns 'n' Roses,November Rain
357,357,4,Guns 'n' Roses,Sweet Child O' Mine
197,194,3,Gus Backus,Da sprach der alte Häuptling der Indianer
120,120,3,H Bloxx,Little Girl
104,104,5,Haiducii,Dragostea din tei
12,12,4,Haindling,Lang scho nimma gsehn
138,138,4,Haindling,Du Depp
149,142,1,Hanna Aroni,viva Espana
8,8,1,Hannes Wader,"Heute hier, morgen dort"
128,121,1,Hannes Wader,Kokain
57,57,4,Hannes Wader,Es ist an der Zeit
216,205,1,Hans Albers,La Paloma
353,353,4,Hans Albers ,Auf der Reeperbahn nachts um halb eins
124,114,2,Hans Hartz,Die weißen Tauben sind müde
108,100,2,Hans Hartz ,"Joe, noch einen"
391,387,3,Hanson,Mmm Bop
249,249,5,Harpo,Movie Star
200,189,2,Harry Belafonte,Day-O (Banana Boat Song)
196,196,5,Harry Belafonte,Island in the sun
364,360,3,Harry Belafonte ,Matilda
434,404,1,Harry Nilsson,Without You
355,355,5,Harry Styles,Watermelon sugar
186,175,2,Hazy Osterwald ,Kriminal Tango
165,155,2,Heart,Alone
138,138,3,Heart,All I Wanna Do Is Make Love To You
92,84,1,Hedy West,500 Miles
428,398,1,Heike Makatsch,Stand By Your Man
122,112,2,Heike Schäfer,Die Glocken von Rom
40,40,5,Heino,Blau blüht der Enzian
202,202,5,Heino,Karamba Karacho ein Whiskey
233,233,5,Heintje,Mama
53,48,2,Heinz Rudolf Kunze ,Dein ist mein ganzes Herz
124,117,1,Heinz Rühmann,Ich brech' die Herzen der stolzensten Frau'n
159,150,1,Heinz Rühmann,"Ein Freund, ein guter Freund"
411,383,1,Heinz Rühmann,Das kann doch einen Seemann nicht erschüttern
388,370,2,Heinz Rühmann,"Jawohl, meine Herr'n"
211,211,5,Heinz Rühmann,La Le Lu
5,5,5,Helene Fischer,Achterbahn
19,19,5,Helene Fischer,Atemlos durch die Nacht
119,119,5,Helene Fischer,Fehlerfrei
189,189,5,Helene Fischer,Ich will immer wieder... dieses Fieber spür'n
247,247,5,Helene Fischer,Mitten im Paradies
261,261,5,Helene Fischer,Nur mit dir
405,399,5,Helene Fischer,Herzbeben
204,204,5,Helge Schneider,Katzeklo
358,337,1,Henry Valentino,Im Wagen vor Mir
130,123,1,Herbert Grönemeyer,Männer
333,313,1,Herbert Grönemeyer,Morgenrot
4,4,2,Herbert Grönemeyer,Bochum
8,8,2,Herbert Grönemeyer,Alkohol
40,39,2,Herbert Grönemeyer,Was soll das
120,110,2,Herbert Grönemeyer,Flugzeuge im Bauch
424,407,2,Herbert Grönemeyer,Musik nur wenn sie laut ist
2,4,3,Herbert Grönemeyer,Kinder an die Macht
48,50,3,Herbert Grönemeyer,Der Weg
72,75,3,Herbert Grönemeyer,Demo (Letzter Tag)
114,114,3,Herbert Grönemeyer,Lied 1 
282,305,3,Herbert Grönemeyer,Halt mich
344,340,3,Herbert Grönemeyer,Mensch
265,263,3,Herman's Hermits,No Milk Today
291,287,3,Hildegard Knef,Für mich soll's rote Rosen regnen
392,388,3,Him ,Join Me
243,241,3,Hoffmann & Hoffmann,Himbeereis zum Frühstück
374,370,3,Hoffmann & Hoffmann,Alles was ich brauche bist du
303,291,2,Höhner,Die Karawane zieht weiter
140,140,4,Hot Banditoz,Veo Veo
76,78,3,Hot Chocolate,It Started With A Kiss
117,117,5,Hot Chocolate,Everyone's a winner
255,255,5,Hot Chocolate,No doubt about it
382,382,5,Hot Chocolate,You sexy thing
118,110,1,Hot Dogs,Die alten Rittersleut
192,183,1,Howard Carpendale,Tür an Tür mit Alice
209,200,1,Howard Carpendale,Ti amo
210,201,1,Howard Carpendale,Fremde oder Freunde
319,299,1,Howard Carpendale,Nimm den nächsten Zug
291,291,5,Howard Carpendale,Samstag Nacht
2,2,2,Howard Carpendale ,Es geht um mehr
166,156,2,Howard Carpendale ,Wem
168,158,2,Howard Carpendale ,Da nahm er seine Gitarre
340,325,2,Howard Carpendale ,Deine Spuren im Sand
343,329,2,Howard Carpendale ,Hello Again
75,77,3,Hubert Kah,Engel 07
144,144,4,Hubert Kah ,Sternenhimmel
143,136,1,Hubert von Goisern,Koa Hiatamadl
47,47,5,Hubert von Goisern,Brenna tuats guat
357,357,5,Hubert von Goisern,Weit weit weg
147,147,4,Hugh Grant,Way Back Into Love
316,316,5,Hurts,Stay
371,371,5,Hurts,Wonderful life
55,57,3,Ibo ,Ibiza
329,324,3,Ich + Ich,Stark
335,335,4,Ich + Ich,Pflaster
348,348,4,Ich + Ich,So soll es bleiben
349,349,4,Ich + Ich,Vom selben Stern
351,351,4,Ich + Ich,Universum
127,117,2,Ideal,Deine blauen Augen
268,256,2,Iggy Pop,Passenger
285,285,5,Ike & Tina Turner,"River Deep, Mountain High"
109,101,1,Ina Deter,Neue Männer braucht das Land
34,32,2,Inner Circle,Sweat (A La La La La Long)
213,216,1,INXS,Beautiful Girl
104,104,4,INXS,Never Tear Us Apart
95,96,3,Irene Cara,Flashdance - What A Feeling
38,38,4,Irene Cara ,Fame
239,239,4,Ivan Rebroff,Wenn ich einmal reich wär
329,329,4,Ivy Quainoo,Do You Like What You See
49,51,3,J J Cale,Cocaine
270,258,2,J. Geils Band ,Centerfold
221,221,4,Jackson 5,I'll Be There
225,225,5,Jackson Browne,Lives in the balance
252,252,5,James Arthur,Naked
407,400,5,James Bay,Hold Back The River
297,293,3,James Blunt,You're beautiful
378,374,3,James Blunt,Wisemen
131,131,4,James Blunt,Primavera In Anticipo
133,133,4,James Blunt,Stay The Night
208,208,4,James Blunt,Bonfire Heart
302,302,4,James Blunt,1973
363,363,5,James Blunt,When I Find Love Again
298,298,4,James Morrison,Broken Strings
124,124,4,James Taylor,How Sweet It Is ( To Be Loved By You)
123,123,5,James Taylor,Fire and Rain
255,240,1,Janis Joplin,Me And Bobby McGee
273,257,1,Janis Joplin,Mercedes Benz
315,140,2,Janis Joplin,Take A Little) Piece Of My Heart
143,143,4,Jason Mraz,I'm Yours
170,160,2,JBO ,Ein guter Tag zum Sterben
262,249,2,Jeff Buckley,Hallelujah
48,45,2,Jennifer Rush,The Power Of Love
151,151,4,Jennifer Rush,Destiny
33,33,4,Jeremy Days,Brand New Toy
311,292,1,Jermaine Jackson & Pia Zadora,When The Rain Begins To Fall
368,368,4,Jessie J feat B.o.B.,Price Tag
249,235,1,Jethro Tull,Locomotive Breath
1,1,W,Jethro Tull,A Christmas Song 
37,37,4,Jim Croce,Time In A Bottle
59,154,1,Jimi Hendrix,Hey Joe
19,17,2,Jimi Hendrix ,The Wind Cries Mary
51,47,1,Jinxs,Another World
167,158,1,Joachim Witt,Goldener Reiter
38,40,3,Joan Jett,I Love Rock n' Roll
362,343,1,Joan Osborne,One Of Us
107,106,3,Joe Cocker,You Can Leave Your Hat On
221,219,3,Joe Cocker,N’oubliez jamais
277,275,3,Joe Cocker / Hans Hartz,Sail Away
318,315,3,Joe Cocker & Jennifer Warnes ,Up Where We Belong
73,67,2,Joe Dassin,Champs Elysées
73,67,2,Joe Dessin,Les Champs- Elysées
79,79,5,Johanna von Koczian,Das bißchen Haushalt
31,29,1,John Denver,Annie
45,40,1,John Denver,"Take Me Home, Country Roads"
85,77,1,John Denver,Leaving On A Jet Plane
386,386,5,John Farnham,You're The Voice
46,48,3,John Kincade,Dreams Are Ten A Penny
8,8,5,John Legend,All of me
178,166,2,John Lennon,Imagine
239,237,3,John Lennon,Woman
65,65,W,John Lennon ,Happy Xmas (War is over)
81,75,2,John Mellencamp,Jack And Diane
78,78,W,John Mellencamp,I Saw Mommy Kissing Santa Claus
398,392,4,John Miles,Music
231,231,5,John Newman,Love Me Again
182,181,3,John Paul Young,Love Is In The Air
253,251,3,Johnny Cash,I Walk The Line
134,134,5,Johnny Cash,Ghost Riders in the sky
251,251,4,Johnny Cash ,Ring Of Fire
61,61,W,Johnny Gill,Give Love On Christmas Day
402,396,4,Johnny Hill,Ruf Teddybär eins-vier
92,92,W,Johnny Mathis,It's The Most Wonderful Time Of The Year
185,185,W,Johnny Mathis,When A Child Is Born
207,207,W,Johnny Mathis,Sleigh Ride
370,366,3,Johnny Nash,I Can See Clearly Now
194,194,5,Johnny Wakelin,In Zaire
69,62,1,Jon Bon Jovi,Blaze Of Glory
367,367,4,Jona Lewie,Stop The Cavalry
208,208,W,Jona Lewie,Stop The Cavalry 
297,297,4,Jorge Ben / Sergio Mendes,Mas Que Nada
403,398,5,Joris,Herz über Kopf
36,36,4,Jose Feliciano,Rain
54,54,W,Jose Feliciano,Feliz Navidad
79,81,3,José Feliciano,Che sara
91,91,5,Josef Salvat,Diamonds
330,310,1,Joshua Kadison,Jessie
106,105,3,Joshua Kadison ,Picture Postcards From L.A.
78,80,3,Juanes,A dios le pido
146,146,3,Juanes,La Camisa Negra
294,282,2,Judy Collins ,Amazing Grace
232,230,3,Judy Garland / Wizard of Oz,Over The Rainbow
90,91,3,Juli,Geile Zeit
148,141,1,Juliane Werding,"Am Tag, als Conny Kramer starb"
396,392,3,Juliane Werding ,"Wenn du denkst, du denkst"
85,85,4,Julio Iglesias / Bata Ilic,Amor
190,189,3,Juni,Perfekte Welle
224,224,4,Jupiter Jones,Still
157,157,5,Jürgen,Heute faehrt die 18 bis nach Istanbul
191,182,1,Jürgen Drews,Ein Bett im Kornfeld
194,185,1,Jürgen Drews,Eine neue Liebe ist wie ein neues Leben
149,139,2,Jürgen Drews,Wieder alles im Griff
315,312,3,Jürgen Drews,"Guten Morgen, liebe Sorgen"
205,205,W,Justin Bieber,Mistletoe
181,181,4,Justin Timberlake,What Goes Around... Comes Around
136,136,5,K.C. and the sunshine band,Give It Up
371,371,4,K'naan,Wavin' Flag
99,91,1,Kansas,Dust In The Wind
261,248,2,Karat,Der Albatros
220,207,2,Karel Gott,Babicka
211,200,2,Karel Gott ,Biene Maja
53,55,3,Karel Gott ,Einmal um die ganze Welt
341,336,3,Kate Winslet,What If
47,44,2,Kate Yanai,Summer Dreaming (Bacardi Feeling)
152,152,3,Katie Melua,If You Were A Sailboat
380,376,3,Katie Melua,The Closest Thing To Crazy
290,290,4,Katie Melua,Nine Million Bicycles
437,407,1,Katja Ebstein,Wunder gibt es immer wieder
352,352,5,katrina and the waves,walking on sunshine
338,338,4,Katy Perry,I Kissed A Girl
165,165,5,Katy Perry,Hot ‘N Cold
304,300,3,Keimzeit,Kling Klang
172,172,4,Kelly Clarkson,My Life Would Suck Without You
31,31,5,Kelly Clarkson,Because Of You
256,241,2,Kenny Loggins ,Welcome To Heartlight
46,46,4,Kenny Loggins ,Footloose
300,288,2,Kenny Rogers,"Ruby, Don't Take Your Love To Town"
11,13,3,Kenny Rogers,Coward Of The County
74,68,2,Kenny Rogers ,The Gambler
128,128,4,Keri Hilson,I Like
267,251,1,Khaled,Aicha
342,342,4,Kid Rock,All Summer Long
297,279,1,Kim Carnes,Bette Davis Eyes
399,381,1,Kim Merz,Saumäßig stark
109,109,4,Kim Wilde,Kids In America
58,58,5,Kim Wilde,Cambodia
400,396,3,Kiss,I Was Made For Lovin' You
137,137,5,Kiss,God Gave Rock 'N' Roll To You No. 2
240,238,3,KIZ,Die Sennerin vom Königsee
243,230,2,Klaus & Klaus,An der Nordseeküste
59,59,W,Klaus Hoffmann,Gatatumba
397,397,1,Klaus Lage,1000 und 1 Nacht (Zoom!)
116,116,3,Klaus Lage ,Monopoli
56,56,4,Konstantin Wecker,Genug ist nicht genug
64,64,5,Kool and the Gang,Cherish
0,36,3,Kraftwerk,The Model
34,36,3,Kraftwerk,Das Model
269,269,4,Kris Kristofferson / John Holt,Help Me Make It Through The Night
317,317,4,Kylie Minogue,I Should Be So Lucky
59,59,5,Kylie Minogue,Can't Get You Out Of My Head
52,52,4,Lady Gaga,Pokerface
307,307,4,Lady Gaga,The Edge Of Glory
7,7,5,Lady Gaga,Alejandro
296,296,5,Lady Gaga & Bradley Cooper,Shallow
164,163,3,Laid back ,Sunshine Reggae
150,150,4,Laid back ,Bakerman
6,8,3,Lale Andersen,Lili Marleen
30,30,4,Lale Andersen,Ein Schiff wird kommen
373,373,4,Lana del Rey,Video Games
206,195,2,Lara Fabian ,I Will Love Again
64,67,3,Las Ketchup,Aserej
398,394,3,Laura Branigan,Self Control
111,111,4,Laura Branigan ,Gloria
336,331,3,Le Ann Rimes,Can't Fight The Moonlight
217,217,5,LEA,Leiser
61,56,1,Led Zeppelin,Stairway To Heaven
322,322,4,Lee Greenwood,God Bless The USA
399,393,4,Lee Majors,Unknown Stuntman
226,226,4,Len,Everything At Once
250,250,4,Lena,Satellite
22,20,2,Lena Valaitis ,Johnny Blue
149,149,4,Lenny Kravitz,I'll Be Waiting
13,13,5,Lenny Kravitz,American Woman
124,124,5,Lenny Kravitz,Fly away
336,323,2,Lenny Kravitz ,Again
214,214,4,Leona Lewis,Bleeding Love
307,295,2,Leonard Cohen,First We Take Manhattan
345,330,2,Leonard Cohen,Who By Fire
405,388,2,Leonard Cohen ,Suzanne
118,118,4,Les Humphries Singers,Mexico
169,169,5,Leslie Clio,I Couldn't Care Less
374,358,2,Level 42,Lessons In Love
33,33,5,Lewis Capaldi,Before you go
311,311,5,Lewis Capaldi,Someone you loved
324,305,1,Lighthouse Family,High
51,53,3,Lightning Seeds,Three Lions 
264,264,5,Lil Mas X,Old town road
344,344,4,Lilly Allen,Not Fair
259,259,4,Limahl,The Never Ending Story
11,11,2,Limp Bizkit,Behind Blue Eyes
68,68,4,Linkin Park,Burn It Down
328,328,4,Linkin Park,Castle Of Glass
33,35,3,Lion King ,Hakuna Matata
151,141,2,Lionel Richie,Hello
144,144,3,Lionel Richie,All Night Long (All Night)
272,260,2,Lionel Richie ,Say You Say Me
375,359,2,Liquido,Narcotic
343,321,1,Live,Selling The Drama
394,378,2,Lobo,I'd Love You To Want Me
136,136,4,Lolita / Schurike,Tulpen aus Amsterdam
350,346,3,Loona,Bailando
161,161,5,Loona,Hijo de la luna
73,73,W,Loona,Hijo de la luna
276,276,4,Loreen,Euphoria
161,161,4,Los Bravos (OV); Belle Epoque,Black Is Black
163,163,4,Los del Rio,Macarena
222,211,1,Los Lobos,La Bamba
242,242,5,Lost Frequencies,Melody
171,170,3,Lotto King Karl,"Hamburg, meine (Fußball) Perle"
351,351,5,Lou Reed,Walk on the wild side
266,250,1,Louis Armstrong,What A Wonderful World
51,51,5,Louis Prima,Buona Sera
396,372,1,Lovin' Spoonful,Summer In The City
309,306,3,Lovin' Spoonful,Daydream
304,304,4,Lucenzo,Danza kuduro
407,390,2,Lucilectric,Mädchen
397,395,5,Luis Fonsi,Despacito
77,77,W,Luther Vandross,I Listen To The Bells
169,169,W,Luther Vandross,This Is Christmas
180,180,4,Lutricia McNeal,Ain' That Just The Way
277,277,4,Lykke Li,I Follow Rivers
194,183,2,Lynn Anderson ,Rose Garden
368,346,1,Lynyrd Skynyrd,Sweet Home Alabama
27,27,W,Lynyrd Skynyrd,Christmas Time Again
98,98,5,Mabel,Don't call me up
438,408,1,Madness,Our House
83,75,1,Madonna,La Isla Bonita
155,146,1,Madonna,Don't Cry For Me Argentina
264,248,1,Madonna,Frozen
420,392,1,Madonna,Like A Prayer
202,199,3,Madonna,Like A Virgin
335,330,3,Madonna,Papa Don't Preach
277,274,4,Madonna,Hung Up
239,239,5,Madonna,Material girl
185,185,4,Maggie Reilly,Every Time We Touch
14,34,2,Mamas + Papas,Monday Monday
91,83,1,Mamas and Papas,California Dreaming
117,109,1,Mamas and Papas,Dream A Little Dream Of Me
341,319,1,Man in Motion,St. Elmo's Fire
67,67,4,Mando Diao,Down In The Past
281,281,4,Mando Diao,Dance With Somebody
37,37,5,Mando Diao,Black Saturday
380,362,2,Manfred Mann ,Do Wah Diddy Diddy
130,130,3,Manfred Mann ,Ha! Ha! Said The Clown
158,158,4,Manfred Mann ,For You
376,376,4,Manfred Mann ,Blinded By The Light
84,84,5,Manfred Mann's Eath Band,Davy's on the road again
154,154,4,Manny Marc,Das geht ab! (Wir feiern die ganze Nacht)
44,44,5,Manu Chao,Bongo Bong
270,254,1,Manuela,Schuld war nur der Bossa Nova
61,63,3,Marc Almond,The Days Of Pearly Spencer
141,132,2,Marc Anthony,You Sang To Me
395,370,1,Marc Cohn,Walking In Memphis
303,303,4,Maria Mena,Just Hold Me
345,345,4,Maria Mena,All This Time
197,197,W,Mariah Carey,All I Want For Christmas Is You
413,385,1,Marianne Rosenberg,Er gehört zu mir
323,318,3,Marianne Rosenberg,Marleen
152,142,2,Marika Rökk,"Musik, Musik, Musik (Ich brauche keine Millionen)"
328,323,3,Marillion ,Kayleigh
201,198,3,Marilyn Monroe,Diamonds Are A Girl
178,178,5,Marilyn Monroe,I wanna be loved by you
52,47,2,Mario Jordan,Welch ein Tag
142,142,4,Marit Larsen,If A Song Could Get Me You
66,66,5,Mark Forster,Chöre
369,369,5,Mark Forster,Wir sind groß
132,132,4,Mark Knopfler,Sailing To Philadelphia
