Seite (Noten),Seite,Buch,Künstler,Titel
393,368,1,Bangles,Eternal Flame
350,350,5,Bangles,Walk Like An Egyptian
179,167,2,Bangles ,Manic Monday
114,106,1,BAP,Verdamp lang her
126,119,1,Barbra Streisand,Woman In Love
102,94,1,Barclay James Harvest,Hymn
223,223,5,Barclay James Harvest,Life Is For Living
387,362,1,Barry Manilow,Mandy
96,97,3,Barry Manilow,Copacabana
169,160,1,Barry McGuire,Eve Of Destruction
385,385,5,Barry White,You're The First The Last My Everything
206,197,1,Bata Illic,Michaela
419,391,1,Beach Boys,Kokomo
423,395,1,Beach Boys,Surfin
164,154,2,Beach Boys,Help Me Rhonda
334,321,2,Beach Boys,Good Vibrations
348,333,2,Beach Boys,Fun Fun Fun
173,173,5,Beach Boys,I get around
153,143,2,Beach Boys ,California Girls
254,252,3,Beagle Music / Copp,Ice In The Sunshine
182,170,2,Beastie Boys,Fight For Your Right
27,25,1,Beatles,Hey Jude
33,31,1,Beatles,Let It Be
43,38,1,Beatles,Yesterday
87,79,1,Beatles,Yellow Submarine
10,10,2,Beatles,Michelle
51,46,2,Beatles,"Ob-La-Di, Ob-La-Da"
93,84,2,Beatles,When I’m Sixty-Four
110,102,2,Beatles,She Loves You
180,168,2,Beatles,Here Comes The Sun
188,177,2,Beatles,Penny Lane
215,204,2,Beatles,All You Need Is Love
245,232,2,Beatles,A Hard Day
250,237,2,Beatles,Lady Madonna
258,245,2,Beatles,Twist And Shout
271,259,2,Beatles,Help
276,264,2,Beatles,With A Little Help From My Friends
295,283,2,Beatles,Nowhere Man
301,289,2,Beatles,Come Together
349,334,2,Beatles,All My Loving
203,200,3,Beatles,Eleanor Rigby
21,21,5,Beatles,Back in the USSR
179,179,5,Beatles,I want to hold your hand
334,334,5,Beatles,The long and winding road
190,190,4,Beatrice Egli,Mein Herz
80,74,2,Beck,Loser
257,243,1,Bee Gees,How Deep Is Your Love
32,30,2,Bee Gees,Words
398,382,2,Bee Gees,This Is Where I Came In
365,361,3,Bee Gees,You Win Again
176,176,5,Bee Gees,I started a joke
181,181,5,Bee Gees,I.O.I.O.
267,267,5,Bee Gees,Ordinary lives
318,318,5,Bee Gees,Stayin' Alive
27,25,2,Bee Gees ,Massachusetts
354,352,2,Bee Gees ,Spicks And Specks
387,369,2,Beethoven,Freude schöner Götterfunken
67,67,5,Belinda Carlisle,Circle in the sand
151,151,5,Belinda Carlisle,Heaven is a place on earth
298,280,1,Bell Book and Candle,Rescue Me
218,207,1,Ben E. King,Stand By Me
1,1,5,Berge,10.000 Tränen
232,221,2,Berlin,Take My Breath Away
193,184,1,Bernd Clüver,Der Junge mit der Mundharmonika
94,94,5,Bertolt Brecht,Die Moritat von Mackie Messer
102,94,2,Bette Midler,From A Distance
268,266,3,Bette Midler,The Rose
200,197,3,Bette Midler / Rolling Stones,Beast Of Burden
80,80,4,Beverley Craven,Promise Me
201,201,4,Beyonce,If I was a Boy
196,185,2,Bill Haley,See You Later Alligator
21,19,2,Bill Haley ,Rock Around The Clock
347,396,2,Bill Medley & Jennifer Warnes,I've had the Time of my Life
337,332,3,Bill Ramsey,Pigalle
263,263,5,Bill Ramsey,Ohne Krimi geht die Mimi nie ins Bett
390,390,5,Bill Ramsey,Zuckerpuppe
37,39,3,Bill Withers,Ain't no sunshine
25,25,5,Billie Eilish,Bad guy
118,118,5,Billie Eilish,Everything I wanted
258,258,5,Billie Eilish,No time to die
4,6,3,Billy Idol,Sweet Sixteen
148,148,3,Billy Idol,Rebel Yell
365,365,5,Billy Idol,White Wedding
154,144,2,Billy Joel,She's Always a Woman
247,234,2,Billy Joel,Leningrad
326,312,2,Billy Joel,Piano Man
86,2,3,Billy Joel,We Didn't start the fire
9,9,4,Billy Joel,Honesty
330,316,2,Billy Joel ,Uptown Girl
185,185,5,Billy Mo,Ich kauf' mir lieber einen Tirolerhut
82,76,2,Billy Ray Cyrus ,Achy Breaky Heart
325,311,2,Billy Ray Cyrus ,These Boots Are Made For Walking
58,58,W,Bing Crosby,Frosty The Snowman
150,150,W,Bing Crosby,Silver Bells
186,186,W,Bing Crosby,White Christmas
235,235,5,Bino,Mama Leone (deutsch)
211,211,4,Birdy,People Help The People
333,320,2,Black ,Wonderful Life
100,92,1,Black F,Frankreich Frankreich
243,243,5,Black Fööss,Mer losse d'r Dom in Kölle
149,149,3,Black Sabbath,Paranoid
257,257,5,Blackmore's Night,No second chance
9,9,5,Blink182,All The Small Things
351,336,2,Blondie,Maria
54,54,5,Blondie,Call me
354,350,3,Blondie / Atomic Kitten,The Tide Is High
201,190,2,Bloodhound Gang ,The Bad Touch
266,253,2,Bloodhound Gang ,The Ballad Of Chasey Lain
293,281,2,Bloodhound Gang ,Fire Water Burn
366,349,2,Bloodhound Gang ,Along Comes Mary
331,318,2,Blue Diamonds,Itsy Bitsy Teenie Weenie Honululu-Strand-Bikini
326,326,5,Blues Brothers,Sweet home Chicago
17,15,2,Blues Brothers ,Rawhide
93,93,4,Blues Brothers ,Soul Man
212,212,W,Blues traveler,Christmas
277,265,2,Blur ,Country House
174,165,1,Bob Dylan,Mighty Quinn (Quinn The Eskimo)
176,167,1,Bob Dylan,Blowin' in the wind
221,210,1,Bob Dylan,Mr. Tambourine Man
313,295,1,Bob Dylan,Knockin' on heavens door
134,124,2,Bob Dylan,Just Like A Woman
197,186,2,Bob Dylan,"Don't think twice, it's all right"
377,376,2,Bob Dylan,A Hard Rain
29,27,2,Bob Dylan ,The Times They Are A-Changing
37,36,2,Bob Dylan ,Hurricane
170,161,1,Bob Geldof,The Great Song Of Indifference
168,159,1,Bob Marley,Buffalo Soldier
292,275,1,Bob Marley,"No Woman, No Cry"
305,287,1,Bob Marley,Redemption Song
360,339,1,Bob Marley,I Shot The Sheriff
306,294,2,Bob Marley,Could You Be Loved
357,340,2,Bob Marley,Is This Love
384,366,2,Bob Seger,Old Time Rock And Roll
48,48,4,Bob Seger,Against The Wind
91,91,4,Bob Seger,Still The Same
77,77,4,Bob Seger ,Turn The Page
163,162,3,"Bobby Hebb, Boney M",Sunny
95,95,W,Bobby Helms,Jingle Bell Rock
173,163,2,Bobby Mc Ferrin,Don't worry be happy
72,65,1,Bon Jovi,Blood Money
228,218,1,Bon Jovi,Bed Of Roses
282,267,1,Bon Jovi,Living On A Prayer
287,277,1,Bon Jovi,This Ain't A Love Song
401,375,1,Bon Jovi,Always
175,165,2,Bon Jovi,In These Arms
198,343,2,Bon Jovi,It's My Live
223,221,3,Bon Jovi,Have A Nice Day
308,304,3,Bon Jovi,Keep The Faith
24,24,4,Bon Jovi,You Give Love A Bad Name
49,49,2,Bon Jovi ,These Days
146,135,2,Bon Jovi ,Runaway
249,236,2,Bon Jovi ,Wanted Dead Or Alive
404,387,2,Boney M,Brown Girl In The Ring
293,289,3,Boney M,Daddy Cool
34,34,5,Boney M,Belfast
164,164,5,Boney M,Hooray! Hooray! It's A Holi-Holiday
5,5,2,Boney M ,Rivers Of Babylon
163,153,2,Boney M ,Rasputin
218,205,2,Boney M ,Ma Baker
435,405,1,Bonfire,You Make Me Feel
385,367,2,Bonnie Tyler,It's A Heartache
17,19,3,Bonnie Tyler,Holding Out For A Hero
337,324,2,Bonnie Tyler ,Total Eclipse Of The Heart
375,352,1,Boomtown rats,I Don't Like Mondays
203,192,2,Boston ,More Than A Feeling
25,23,2,Box Tops,The Letter
407,403,3,Breakfast at Tiffany's,Moon River
141,141,W,Brenda Lee,Rockin’ Around The Christmas Tree
50,46,1,Brian Hyland,Sealed With A Kiss
30,28,1,Brian May,Too Much Love Will Kill You
85,79,2,Britney Spears,Lucky
20,20,5,Britney Spears,Baby one more time
266,266,5,Britney Spears,Oopa I did it again
206,206,W,Britney Spears,My Only Wish This Year
364,364,5,Bros,When Will I Be Famous
256,254,3,Brotherhood Of Man,Save Your Kisses For Me
194,194,4,Bruce & Bongo,Geil
74,67,1,Bruce Springsteen,Born In The USA
227,217,1,Bruce Springsteen,Because The Night
238,227,1,Bruce Springsteen,I'm On Fire
245,233,1,Bruce Springsteen,My Hometown
258,244,1,Bruce Springsteen,Streets Of Philadelphia
260,246,1,Bruce Springsteen,The River
301,283,1,Bruce Springsteen,Ghost Of Tom Joad
306,288,1,Bruce Springsteen,Born To Run
334,314,1,Bruce Springsteen,No Surrender
76,76,5,Bruce Springsteen,Dancing in the dark
122,122,5,Bruce Springsteen,Fire
45,45,4,Bruno Mars,Grenade
121,121,4,Bruno Mars,Just The Way You Are
72,72,5,Bruno Mars,Count on me
229,229,5,Bruno Mars,Locked Out Of Heaven
20,19,1,Bryan Adams,Everything I Do) I Do It For You
285,270,1,Bryan Adams,Heaven
376,353,1,Bryan Adams,Run To You
352,337,2,Bryan Adams,Summer Of 69
68,68,5,Bryan Adams,Cloud number nine
149,149,5,Bryan Adams,Have You Ever Really Loved A Woman
24,24,W,Bryan Adams,Christmas Time
140,140,W,Bryan Adams,Reggae Christmas
176,172,2,Bryan Adams ,Please Forgive Me
96,96,4,"Bryan Adams, Rod Stewart & Sting",All For Love
205,202,3,Buddy Holly,Peggy Sue
88,81,2,Buddy vs DJ the Wave,Ab in den Süden
356,339,2,Buggles ,Video Killed The Radio Star
287,283,3,Burt Bacharach,Raindrops Keep Fallin
23,23,5,call ,Bad bad Leroy Brown
376,376,5,Calum Scott,You are the reason
325,320,3,Cameo,Word Up!
147,147,5,Camila Cabello,Havana
103,102,3,Camouflage,Love Is A Shield
375,371,3,Camouflage,The Great Commandment
229,229,4,Capital Cities,Safe And Sound
300,300,4,Carl Douglas,Kung Fu Fighting
49,45,1,Carl Perkins,Blue Suede Shoes
55,55,5,Carly Rae Jepsen,Call me maybe
127,127,3,Carly Simon,You
326,326,4,Caro Emerald,A Night Like This
398,374,1,Carole King,You
271,271,4,Carole King,Will You Love Me Tomorrow?
146,146,5,Carole King,Hard Rock Cafe
303,299,3,Casablanca /Hupfeld/ Andy Williams,As Time Goes By
168,168,4,Cassandra Steen,Stadt
40,37,1,Cat Stevens,"If You Want To Sing Out, Sing Out"
108,100,1,Cat Stevens,Morning Has Broken
120,113,1,Cat Stevens,Father And Son
332,312,1,Cat Stevens,Moonshadow
23,21,2,Cat Stevens,(Oh Baby Baby) It's a wild world
23,21,2,Cat Stevens,Wild World
132,122,2,Cat Stevens,Hard Headed Woman
236,225,2,Cat Stevens,Sad Lisa
415,397,2,Cat Stevens,Lady D'Arbanville
246,244,3,Cat Stevens,Peace Train
14,14,4,Caterina Valente & Silvio Francesco,Quando quando
47,43,1,Cats,Memory
15,15,1,CCR,Bad Moon Rising
24,22,1,CCR,Down On The Corner
26,24,1,CCR,Have You Ever Seen The Rain
382,359,1,CCR,Proud Mary
292,242,2,Celine Dion,It's All Coming To Me Now
78,78,4,Celine Dion,A New Day Has Come
174,164,2,Celine Dion ,Immortality
235,233,3,Celine Dion ,My Heart Will Go On
6,6,5,Chaka Khan,Ain't Nobody
372,372,5,Charles & Eddie,Would I lie to you
84,84,4,Charles Aznavour,She
121,121,W,Charles Brown,Merry Christmas Baby
237,237,5,Charlie Puth feat. Meghan Trainor,Marvin Gaye
290,286,3,Charlie Rich,The Most Beautiful Girl
180,180,5,Cheap Trick,I want you to want me
0,38,3,Cher,Tramps & Thieves
36,38,3,Cher,"Gypsies, Tramps And Thieves"
10,10,4,Cher,If I Could Turn Back Time
11,11,4,Cher,Just Like Jesse James
123,123,4,Cher,Strong Enough
206,203,3,Cher ,The Shoop Shoop Song
220,217,3,Chicago,Hard To Say I'm Sorry
191,191,5,Chicago,If you leave me now
